Date : 2021-08-27 21:40:51
Directory : c:\Users\lxue\IdeaProjects\blog-parent
Total : 108 files,  3044 codes, 871 comments, 827 blanks, all 4742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         82 |      2,247 |        836 |        735 |      3,818 |
| XML        |         22 |        753 |         17 |         76 |        846 |
| Properties |          2 |         34 |         18 |         16 |         68 |
| JSON       |          2 |         10 |          0 |          0 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        108 |      3,044 |        871 |        827 |      4,742 |
| .idea                                                                                                                      |         14 |        383 |          0 |          0 |        383 |
| .idea\codeStyles                                                                                                           |          1 |          5 |          0 |          0 |          5 |
| .idea\copyright                                                                                                            |          1 |          5 |          0 |          0 |          5 |
| .idea\dictionaries                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| .idea\inspectionProfiles                                                                                                   |          1 |         41 |          0 |          0 |         41 |
| .idea\mybatisx                                                                                                             |          1 |         81 |          0 |          0 |         81 |
| blog-api                                                                                                                   |         93 |      2,605 |        871 |        815 |      4,291 |
| blog-api\src                                                                                                               |         87 |      2,347 |        851 |        759 |      3,957 |
| blog-api\src\main                                                                                                          |         86 |      2,273 |        825 |        724 |      3,822 |
| blog-api\src\main\java                                                                                                     |         81 |      2,173 |        810 |        700 |      3,683 |
| blog-api\src\main\java\com                                                                                                 |         81 |      2,173 |        810 |        700 |      3,683 |
| blog-api\src\main\java\com\titxu                                                                                           |         81 |      2,173 |        810 |        700 |      3,683 |
| blog-api\src\main\java\com\titxu\blog                                                                                      |         81 |      2,173 |        810 |        700 |      3,683 |
| blog-api\src\main\java\com\titxu\blog\common                                                                               |          6 |        200 |         77 |         49 |        326 |
| blog-api\src\main\java\com\titxu\blog\common\aop                                                                           |          6 |        200 |         77 |         49 |        326 |
| blog-api\src\main\java\com\titxu\blog\common\aop\Cache                                                                     |          2 |         78 |         24 |         19 |        121 |
| blog-api\src\main\java\com\titxu\blog\common\aop\LastLogin                                                                 |          2 |         56 |         32 |         15 |        103 |
| blog-api\src\main\java\com\titxu\blog\common\aop\Log                                                                       |          2 |         66 |         21 |         15 |        102 |
| blog-api\src\main\java\com\titxu\blog\config                                                                               |          4 |        115 |         36 |         36 |        187 |
| blog-api\src\main\java\com\titxu\blog\controller                                                                           |         10 |        274 |        103 |        102 |        479 |
| blog-api\src\main\java\com\titxu\blog\controller\user                                                                      |          3 |         61 |         15 |         26 |        102 |
| blog-api\src\main\java\com\titxu\blog\dao                                                                                  |         18 |        296 |        149 |        148 |        593 |
| blog-api\src\main\java\com\titxu\blog\dao\ES                                                                               |          2 |        137 |        106 |         70 |        313 |
| blog-api\src\main\java\com\titxu\blog\dao\dos                                                                              |          1 |          8 |          0 |          4 |         12 |
| blog-api\src\main\java\com\titxu\blog\dao\mapper                                                                           |          8 |         68 |         30 |         35 |        133 |
| blog-api\src\main\java\com\titxu\blog\dao\pojo                                                                             |          7 |         83 |         13 |         39 |        135 |
| blog-api\src\main\java\com\titxu\blog\dao\pojo\article                                                                     |          3 |         35 |         11 |         15 |         61 |
| blog-api\src\main\java\com\titxu\blog\hander                                                                               |          2 |         73 |         33 |         21 |        127 |
| blog-api\src\main\java\com\titxu\blog\service                                                                              |         17 |        807 |        328 |        209 |      1,344 |
| blog-api\src\main\java\com\titxu\blog\service\impl                                                                         |          8 |        685 |        207 |        136 |      1,028 |
| blog-api\src\main\java\com\titxu\blog\utils                                                                                |          8 |        224 |         43 |         66 |        333 |
| blog-api\src\main\java\com\titxu\blog\utils\result                                                                         |          2 |         51 |          4 |         29 |         84 |
| blog-api\src\main\java\com\titxu\blog\vo                                                                                   |         15 |        175 |         41 |         64 |        280 |
| blog-api\src\main\java\com\titxu\blog\vo\articlevo                                                                         |          5 |         62 |          8 |         23 |         93 |
| blog-api\src\main\java\com\titxu\blog\vo\params                                                                            |          6 |         62 |         15 |         25 |        102 |
| blog-api\src\main\resources                                                                                                |          5 |        100 |         15 |         24 |        139 |
| blog-api\src\main\resources\com                                                                                            |          3 |         78 |          6 |         16 |        100 |
| blog-api\src\main\resources\com\titxu                                                                                      |          3 |         78 |          6 |         16 |        100 |
| blog-api\src\main\resources\com\titxu\blog                                                                                 |          3 |         78 |          6 |         16 |        100 |
| blog-api\src\main\resources\com\titxu\blog\dao                                                                             |          3 |         78 |          6 |         16 |        100 |
| blog-api\src\main\resources\com\titxu\blog\dao\mapper                                                                      |          3 |         78 |          6 |         16 |        100 |
| blog-api\src\test                                                                                                          |          1 |         74 |         26 |         35 |        135 |
| blog-api\src\test\java                                                                                                     |          1 |         74 |         26 |         35 |        135 |
| blog-api\src\test\java\com                                                                                                 |          1 |         74 |         26 |         35 |        135 |
| blog-api\src\test\java\com\titxu                                                                                           |          1 |         74 |         26 |         35 |        135 |
| blog-api\src\test\java\com\titxu\blog                                                                                      |          1 |         74 |         26 |         35 |        135 |
| blog-api\target                                                                                                            |          5 |        100 |         15 |         24 |        139 |
| blog-api\target\classes                                                                                                    |          5 |        100 |         15 |         24 |        139 |
| blog-api\target\classes\com                                                                                                |          3 |         78 |          6 |         16 |        100 |
| blog-api\target\classes\com\titxu                                                                                          |          3 |         78 |          6 |         16 |        100 |
| blog-api\target\classes\com\titxu\blog                                                                                     |          3 |         78 |          6 |         16 |        100 |
| blog-api\target\classes\com\titxu\blog\dao                                                                                 |          3 |         78 |          6 |         16 |        100 |
| blog-api\target\classes\com\titxu\blog\dao\mapper                                                                          |          3 |         78 |          6 |         16 |        100 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                   | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\codeStyles\codeStyleConfig.xml                                                | XML        |          5 |          0 |          0 |          5 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\compiler.xml                                                                  | XML        |         19 |          0 |          0 |         19 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\copyright\lxue.xml                                                            | XML        |          5 |          0 |          0 |          5 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\dataSources.xml                                                               | XML        |         21 |          0 |          0 |         21 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\dictionaries\lxue.xml                                                         | XML        |          3 |          0 |          0 |          3 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\encodings.xml                                                                 | XML        |          7 |          0 |          0 |          7 |
| c:\Users\lxue\IdeaProjects\blog-parent\.idea\inspectionProfiles\Project_Default.xml                                        | XML        |         41 |          0 |          0 |         41 |
